RM;LSTAT;PTRATIO; MEDV 
5,453;30,59;20,2; R$105.000,00 
5,683;22,98;20,2; R$105.000,00 
5,987;26,77;20,2; R$117.600,00 
5,852;29,97;20,2; R$132.300,00 
4,519;36,98;20,2; R$147.000,00 
5,414;23,97;20,1; R$147.000,00 
5,277;30,81;20,2; R$151.200,00 
6,343;20,32;20,2; R$151.200,00 
6,434;29,05;20,2; R$151.200,00 
5;31,99;20,2; R$155.400,00 
6,782;25,79;20,2; R$157.500,00 
5,093;29,68;20,1; R$170.100,00 
5,349;19,77;20,2; R$174.300,00 
5,896;24,39;20,2; R$174.300,00 
6,824;22,74;20,2; R$176.400,00 
5,935;34,02;20,2; R$176.400,00 
5,747;19,92;20,2; R$178.500,00 
5,531;27,38;20,2; R$178.500,00 
6,152;26,45;20,2; R$182.700,00 
4,368;30,63;20,2; R$184.800,00 
5,957;20,62;20,2; R$184.800,00 
6,38;24,08;20,2; R$199.500,00 
6,461;18,05;20,2; R$201.600,00 
5,036;25,68;20,2; R$203.700,00 
6,223;21,78;20,2; R$214.200,00 
4,88;30,62;20,2; R$214.200,00 
5,837;15,69;20,2; R$214.200,00 
6,968;17,21;20,2; R$218.400,00 
5,304;26,64;20,2; R$218.400,00 
4,652;28,28;20,2; R$220.500,00 
5,818;22,11;20,2; R$220.500,00 
5,854;23,79;20,2; R$226.800,00 
6,545;21,08;20,2; R$228.900,00 
6,202;14,52;20,2; R$228.900,00 
6,193;21,52;20,2; R$231.000,00 
5,536;23,6;20,2; R$237.300,00 
5,39;20,85;20,2; R$241.500,00 
5,565;17,16;20,2; R$245.700,00 
6,208;15,17;20,2; R$245.700,00 
4,903;29,29;14,7; R$247.800,00 
6,459;23,98;20,2; R$247.800,00 
4,138;23,34;20,2; R$249.900,00 
6,03;7,88;21; R$249.900,00 
5,304;24,91;20,2; R$252.000,00 
6,404;20,31;20,2; R$254.100,00 
5,52;24,56;20,2; R$258.300,00 
6,405;19,37;20,2; R$262.500,00 
6,251;16,44;20,2; R$264.600,00 
5,713;22,6;21; R$266.700,00 
5,887;16,35;20,2; R$266.700,00 
5,976;19,01;20,2; R$266.700,00 
5,627;22,88;20,2; R$268.800,00 
6,417;19,31;20,2; R$273.000,00 
5,701;18,35;21; R$275.100,00 
5,272;16,14;14,7; R$275.100,00 
6,38;23,69;20,2; R$275.100,00 
6,471;17,12;20,2; R$275.100,00 
5,95;27,71;21; R$277.200,00 
5,857;21,32;21,2; R$279.300,00 
6,794;21,24;20,2; R$279.300,00 
6,162;24,1;20,2; R$279.300,00 
5,403;26,82;14,7; R$281.400,00 
6,103;23,29;20,2; R$281.400,00 
6,629;23,27;20,2; R$281.400,00 
6,749;17,44;20,2; R$281.400,00 
6,096;20,34;21; R$283.500,00 
5,936;16,94;20,2; R$283.500,00 
5,57;21,02;21; R$285.600,00 
5,983;18,07;20,1; R$285.600,00 
6,13;27,8;14,7; R$289.800,00 
4,906;34,77;20,2; R$289.800,00 
4,138;37,97;20,2; R$289.800,00 
6,193;15,17;20,2; R$289.800,00 
5,427;18,14;20,2; R$289.800,00 
5,599;16,51;21; R$291.900,00 
6,649;23,24;20,2; R$291.900,00 
6,174;24,16;21,2; R$294.000,00 
6,833;19,69;20,2; R$296.100,00 
6,185;18,13;20,2; R$296.100,00 
6,525;18,13;20,2; R$296.100,00 
6,006;15,7;20,2; R$298.200,00 
5,637;18,34;21,2; R$300.300,00 
6,436;16,22;20,2; R$300.300,00 
5,399;30,81;17,9; R$302.400,00 
5,019;34,41;21,2; R$302.400,00 
5,813;19,88;21; R$304.500,00 
6,072;13,04;21; R$304.500,00 
6,348;17,64;20,2; R$304.500,00 
4,926;29,53;14,7; R$306.600,00 
6,185;18,03;20,2; R$306.600,00 
6,047;17,28;21; R$310.800,00 
6,341;17,79;20,2; R$312.900,00 
6,728;18,71;20,2; R$312.900,00 
6,301;16,23;20,2; R$312.900,00 
6,377;20,45;15,2; R$315.000,00 
7,313;13,44;20,2; R$315.000,00 
5,757;10,11;20,2; R$315.000,00 
5,713;17,11;20,2; R$317.100,00 
6,142;18,72;21; R$319.200,00 
6,655;17,73;20,2; R$319.200,00 
5,454;18,06;20,1; R$319.200,00 
5,012;12,12;14,7; R$321.300,00 
5,597;21,45;14,7; R$323.400,00 
6,485;18,85;20,2; R$323.400,00 
5,924;16,3;21; R$327.600,00 
5,757;17,31;21,2; R$327.600,00 
5,468;26,42;14,7; R$327.600,00 
5,628;16,65;14,7; R$327.600,00 
6,152;15,02;14,7; R$327.600,00 
5,613;27,26;19,1; R$329.700,00 
5,966;14,44;19,7; R$336.000,00 
4,973;12,64;18,4; R$338.100,00 
6,425;12,03;20,2; R$338.100,00 
6,297;17,27;20,2; R$338.100,00 
5,693;17,19;21,2; R$340.200,00 
5,705;11,5;18,4; R$340.200,00 
5,155;20,08;20,2; R$342.300,00 
6,701;16,42;20,2; R$344.400,00 
5,631;29,93;15,2; R$346.500,00 
6,54;8,65;15,9; R$346.500,00 
5,813;14,81;21; R$348.600,00 
6,03;18,8;17,9; R$348.600,00 
6,411;15,02;20,2; R$350.700,00 
6,484;18,68;20,2; R$350.700,00 
5,803;14,64;20,2; R$352.800,00 
6,027;14,33;19,2; R$352.800,00 
6,129;15,12;14,7; R$357.000,00 
6,454;14,59;21,2; R$359.100,00 
5,706;12,43;16,9; R$359.100,00 
